no_can;chapitre;designation
584 221 273;584;Lignes de compensation blindées comprenant 8 Link classe EA (câbles Cat 7A, modules Cat 6A) pour CUC, mesure de qualité et documen- tation comprises, longueur de ligne plus de 25 à 50m
584 221 274;584;Lignes de compensation blindées comprenant 8 Link classe EA (câbles Cat 7A, modules Cat 6A) pour CUC, mesure de qualité et documen- tation comprises, longueur de ligne plus de 50 à 75m
584 221 275;584;Lignes de compensation blindées comprenant 8 Link classe EA (câbles Cat 7A, modules Cat 6A) pour CUC, mesure de qualité et documen- tation comprises, longueur de ligne plus de 75 à 90m
584 223 112;584;Ligne CUC avec prise dans
584 223 171;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal d'allège, mesure de qualité et documentation comprises, longueur de ligne jusqu'à 10m
584 223 172;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal d'allège, mesure de qualité et documentation comprises, longueur de ligne plus de 10 à 25m
584 223 173;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal d'allège, mesure de qualité et documentation comprises, longueur de ligne plus de 25 à 50m
584 223 174;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal d'allège, mesure de qualité et documentation comprises, longueur de ligne plus de 50 à 75m
584 223 175;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal d'allège, mesure de qualité et documentation comprises, longueur de ligne plus de 75 à 90m
584 223 271;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal de sol ou faux-plancher, mesure de qualité et docu- mentation comprises, longueur de ligne jusqu'à 10m
584 223 272;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal de sol ou faux-plancher, mesure de qualité et docu- mentation comprises, longueur de ligne plus de 10 à 25m
584 223 273;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal de sol ou faux-plancher, mesure de qualité et docu- mentation comprises, longueur de ligne plus de 25 à 50m
584 223 274;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal de sol ou faux-plancher, mesure de qualité et docu- mentation comprises, longueur de ligne plus de 50 à 75m
584 223 275;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC dans canal de sol ou faux-plancher, mesure de qualité et docu- mentation comprises, longueur de ligne plus de 75 à 90m
584 223 342;584;Ligne CUC avec prise
584 223 371;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC, mesure de qualité et documentation comprises, longueur de ligne jusqu'à 10m
584 223 372;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 10 à 25m
584 223 373;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 25 à 50m
