fnr;e_no;designation;code_couleur;ean;article_suivi_snapfix
87066.KS.F.61.74;755665000;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED bleu;61;7613175113456;
87066.KS.F.61.84;755665004;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED vert;61;7613175113463;
87066.KS.F.K.61.14;755685001;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED blanc;61;7613175116341;
87066.KS.F.K.61.34;755685002;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED jaune;61;7613175116358;
87066.KS.F.K.61.44;755685003;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED rouge;61;7613175116617;
87066.KS.F.K.61.74;755685000;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED bleu;61;7613175116594;
87066.KS.F.K.61.84;755685004;Combinaison lum.6/1L+T13 blanc, contrôle, EDIZIOdue, LED vert;61;7613175116600;
87066.KS.F.K.L.35.34;755688010;Combinaison lum.6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175117263;
87066.KS.F.K.L.60.34;755688950;Combinaison lum.6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175117805;
87066.KS.F.K.L.61.34;755688000;Combinaison lum.6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175117812;
87066.KS.F.K.L.65.34;755688030;Combinaison lum.6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175117829;
87066.KS.F.K.L.67.34;755688040;Combinaison lum.6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175117836;
87066.KS.F.L.35.34;755668010;Combinaison lum.6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175117874;
87066.KS.F.L.60.34;755668950;Combinaison lum.6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175117980;
87066.KS.F.L.61.34;755668000;Combinaison lum.6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175117997;
87066.KS.F.L.65.34;755668030;Combinaison lum.6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175118000;
87066.KS.F.L.67.34;755668040;Combinaison lum.6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175118017;
87066.KS.FMI.61.14;755165001;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED blanc;61;7613175115917;
87066.KS.FMI.61.34;755165002;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED jaune;61;7613175115924;
87066.KS.FMI.61.44;755165003;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED rouge;61;7613175115931;
87066.KS.FMI.61.74;755165000;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED bleu;61;7613175115948;
87066.KS.FMI.61.84;755165004;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED vert;61;7613175115955;
87066.KS.FMI.K.61.14;755185001;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED blanc;61;7613175110875;
87066.KS.FMI.K.61.34;755185002;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED jaune;61;7613175110882;
87066.KS.FMI.K.61.44;755185003;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED rouge;61;7613175110899;
87066.KS.FMI.K.61.74;755185000;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED bleu;61;7613175110905;
